Name,Description,Images,No questions
Fan-shaped sponge,"Phakellia ventilabrum is a cup or fan-shaped sponge with a grey or pale brown color. A 
pattern of veins are radiating from the stem towards the rim of the fan.",fan_shaped_sponge_1.jpg;fan_shaped_sponge_2.jpg,
Football sponge,"Geodia barretti is a large, globular sponge. The color is usually white and brown. It may grow to a diameter of 50 cm and young sponges are closest to having a perfect spherical shape. ",football_sponge_1.jpg;football_sponge_2.jpg;football_sponge_3.jpg,
Sponge (any species),"There are many species of sponges down there. If you recognise a sponge but its none of the available species, you can use this choice. If you recognise the species, you can add your identification by pressing the 'talk' button that appears in the next step.",Spong_Axinella.jpg;Spong_Polymastia2.jpg,
Dead man's fingers,"Alcyonium digitatum is a soft coral. This species is called ""Dead men's fingers"" for obvious reasons. Mature colonies form irregular, thick-branched bushes, perhaps resembling a crippled hand. The colonies comes in all shades from almost white, to yellow and deep orange. The polyps are translucent white and may contract into the fleshy branches.","dead_mans_ingers_1.jpg;dead_mans_ingers_2.jpg;dead_mans_ingers_3.jpg
",
Deeplet sea anemone,"Bolocera tuediae is one of the largest North Sea anemones. The base may reach a 
diameter of 25 cm. The body  is smooth with a pink or red coloration. It
 has almost 200 tentacles. Often, the tentacles are withdrawn and then the anemone looks like an orange ball.","deeplet_sea_anemone_1.jpg;Bolocera_1.jpg;Bolocera_2.jpg;deeplet_sea_anemone_2.jpg
",
Common sea pen,"Pennatula phosphorea is a sea pen that grows up to a height of 40 cm. With its deep red color it is easily distinguished from other sea pens. There is a highly developed muscle and neural system in the stem, enabling the colony to ""walk"" along the bottom in search for a better location.",common_sea_pen_1.jpg;common_sea_pen_2.jpg;common_sea_pen_3.jpg,
Tall sea pen,"The large sea pen Funiculina quadrangularis reaches a height of 2 meters in some cases, but mostly will be 30-60 cm tall. The most characteristic feature is the white stem covered with white or pale-pink polyps. The animal prefers muddy substrates and is registered on depths ranging from 20 to 2300 meters.",Funiculina quadrangularis_1.jpg;Funiculina quadrangularis_2.jpg;Funiculina quadrangularis_3.jpg,
Deep water coral,"Lophelia pertusa is a reef building, deep water coral. It has white or orange polyps with as many as 60 tentacles. Each polyp produces calcium carbonate to build a hard skeleton. ",deep_water_coral_1.jpg,
Coral (any species),"There are many species of corals down there. If you recognise a hard or soft coral but its none of the available species, you can use this choice. If you recognise the species, you can add your identification by pressing the 'talk' button that appears in the next step.",Coral_Caryophyllia.jpg;Coral_Meritridium2.jpg;Coral_Meritridium.jpg,
Northern shrimp,"Pandalus borealis is a species of caridean shrimp. Easy to identify by its deep red color. It is slender and has a smooth body surface. The rostrum is about one and
 three fourths times as long as the carapace.",northern_shrimp_1.jpg;northern_shrimp_2.jpg,
