dupl_subject_id,single_subject_id
38166876,38166876
38166877,38166877
38166878,38166878
38166879,38166879
38166880,38166880
38166881,38166881
38166882,38166882
38166883,38166883
38166884,38166884
38166885,38166885
38166886,38166886
38166887,38166887
38166888,38166888
38166889,38166889
38166890,38166890
38166891,38166891
38166892,38166892
38166893,38166893
38166894,38166894
38166895,38166895
38166896,38166896
38166897,38166897
38166898,38166898
38166899,38166899
38166900,38166900
38166901,38166901
38166902,38166902
38166903,38166903
38166904,38166904
38166905,38166905
38166906,38166906
38166907,38166907
38166908,38166908
38166909,38166909
38166910,38166910
38166911,38166911
38166912,38166912
38166913,38166913
38166914,38166914
38166915,38166915
38166916,38166916
38166917,38166917
38166918,38166918
38166919,38166919
38166920,38166920
38166921,38166921
38166922,38166922
38166923,38166923
38166924,38166924
38166925,38166925
38166926,38166926
38166927,38166927
38166928,38166928
38166929,38166929
38166930,38166930
38166931,38166931
38166932,38166932
38166933,38166933
38166934,38166934
38166935,38166935
38166936,38166936
38166937,38166937
38166938,38166938
38166939,38166939
38166940,38166940
38166941,38166941
38166942,38166942
38166943,38166943
38166944,38166944
39384175,39384175
39384176,39384176
39384177,39384177
39384178,39384178
39384179,39384179
39384180,39384180
39384181,39384181
39384182,39384182
39384183,39384183
39384184,39384184
39384185,39384185
39384186,39384186
39384187,39384187
39384188,39384188
39384189,39384189
39384190,39384190
39384191,39384191
39384192,39384192
39384193,39384193
39384194,39384194
39384195,39384195
39384196,39384196
39384197,39384197
39384198,39384198
39384199,39384199
39384200,39384200
39384201,39384201
39384202,39384202
39384203,39384203
39384204,39384204
39384205,39384205
39384206,39384206
39384207,39384207
39384208,39384208
39384209,39384209
39384210,39384210
39384211,39384211
39384212,39384212
39384213,39384213
39384214,39384214
39384215,39384215
39384216,39384216
39384217,39384217
39384218,39384218
39384219,39384219
39384220,39384220
39384221,39384221
39384222,39384222
39384223,39384223
39384224,39384224
39384225,39384225
39384226,39384226
39384227,39384227
39384228,39384228
39384229,39384229
39384230,39384230
39384231,39384231
39384232,39384232
39384233,39384233
39384234,39384234
39384235,39384235
39384236,39384236
39384237,39384237
39384238,39384238
